,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
90,Venezuela,38.3,7.51,23.55,39.4,37.34,3.35,2017
91,Iran,38.26,17.05,28.09,33.53,33.17,43.18,2017
92,Poland,38.15,13.93,26.54,29.69,31.53,71.75,2017
93,Nigeria,36.82,17.62,27.62,37.02,22.37,25.23,2017
94,Bulgaria,36.49,8.91,23.27,30.49,29.56,51.4,2017
95,Bangladesh,36.1,5.61,21.49,32.71,24.86,37.0,2017
96,Romania,35.63,9.59,23.15,29.05,30.16,53.44,2017
97,Morocco,35.53,10.44,23.5,31.51,23.89,41.2,2017
98,Bosnia And Herzegovina,35.05,6.22,21.23,29.76,24.22,51.29,2017
99,Philippines,34.71,7.32,21.58,33.95,19.86,36.0,2017
100,Colombia,34.45,10.69,23.06,28.76,24.97,37.63,2017
101,Uganda,34.14,6.83,21.05,29.41,20.79,19.42,2017
102,Armenia,33.87,9.91,22.39,26.83,31.03,32.88,2017
103,Belarus,33.84,12.21,23.47,27.19,37.6,36.43,2017
104,Serbia,33.79,7.25,21.07,24.96,27.2,40.8,2017
105,Sri Lanka,33.47,8.74,21.62,36.79,19.51,30.28,2017
106,Albania,32.42,6.3,19.9,26.07,25.06,34.49,2017
107,Algeria,32.38,6.83,20.14,32.5,20.12,36.66,2017
108,North Macedonia,30.93,6.02,18.99,25.41,20.74,39.85,2017
109,Kazakhstan,30.74,11.27,21.41,24.83,32.04,44.84,2017
110,Nepal,30.02,3.36,17.24,26.38,16.27,25.09,2017
111,Mexico,29.81,8.37,19.53,28.06,25.8,60.08,2017
112,Tunisia,28.74,6.1,17.89,27.58,16.95,40.19,2017
113,Moldova,28.37,7.85,18.54,21.97,20.32,29.38,2017
114,Syria,28.31,5.98,17.61,26.72,22.21,14.08,2017
115,Azerbaijan,27.76,10.66,19.57,22.93,29.25,30.8,2017
116,Georgia,27.37,8.57,18.36,22.26,26.65,33.03,2017
117,Pakistan,27.18,5.03,16.57,24.83,21.01,39.95,2017
118,Ukraine,26.22,9.36,18.14,19.87,19.69,26.93,2017
119,India,25.08,6.77,16.31,25.2,16.38,76.73,2017
120,Egypt,22.36,5.03,14.05,19.01,18.56,29.39,2017
0,Bermuda,144.88,100.71,123.57,143.42,151.59,104.24,2018
1,Switzerland,131.39,53.84,93.99,133.34,131.86,126.15,2018
2,Iceland,123.96,54.63,90.52,118.95,132.59,87.84,2018
3,Norway,113.7,40.85,78.57,106.52,125.04,107.95,2018
4,Bahamas,100.68,35.31,69.16,88.38,102.08,71.4,2018
5,Luxembourg,96.56,59.87,78.87,84.98,107.94,116.73,2018
6,Denmark,93.3,36.62,65.96,72.46,113.39,117.53,2018
7,Singapore,91.4,71.89,81.99,83.64,64.4,95.89,2018
